time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	L5_S1_Flex_Ext	L5_S1_Lat_Bending	L5_S1_axial_rotation	neck_flexion	neck_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
0.31666667	-2.18312134	1.78194613	1.75797583	-1.22339385	-0.07915736	0.97940177	0.14652888	-0.13198994	-0.11842982	1.25111276	0.14009843	-0.34906585	-0.51339340	0.35908143	0.25844026	0.46316850	1.07530238	1.04719755	0.34906585	-0.52359878	-0.33331751	-0.41157694	0.21562231	-0.12947828	0.16361755	0.07063801	-0.05323311	-0.79269709	-0.51198194	1.66841742	0.96331777	0.00000000	0.00000000	-0.16315358	-0.62614737	-0.10213161	0.57981968	1.36307164	0.00000000	0.00000000
0.33333333	-2.21077385	1.79335602	1.82268202	-1.21241416	-0.08550758	0.97753310	0.19392624	-0.12408614	-0.12014911	1.25224565	0.06743845	-0.34906585	-0.45431157	0.28790184	0.07519349	0.29142519	0.94824100	0.78200670	0.34906585	-0.52359878	-0.33268987	-0.42198815	0.12608959	-0.13483231	0.18650611	0.10766101	-0.02638216	-0.77469627	-0.53206421	1.66857624	0.90249489	0.00000000	0.00000000	-0.21180773	-0.68075794	-0.08744670	0.56769505	1.34953552	0.00000000	0.00000000
0.35000000	-2.39436167	2.27721959	1.11684061	-1.22407582	-0.08861953	1.00865702	0.28908761	-0.78329881	0.36690617	1.24417913	0.88081168	-0.34906585	0.52359878	-0.54176312	0.52359878	0.69813170	0.31443924	1.04719755	0.34906585	0.52359878	-0.44378296	-0.59024373	1.01362408	-0.18225634	0.07993201	0.08021752	-0.21472750	-0.98731099	-0.75717824	1.63349747	0.79125003	0.00000000	0.00000000	-0.19769157	-0.42196513	-0.18245738	0.50382296	1.29747914	0.00000000	0.00000000
0.36666667	-2.97011537	2.20908840	1.38744756	-1.22081861	-0.11441811	1.02812053	0.36553313	-0.62159468	-0.16272136	1.39819102	0.56047197	0.09206750	0.51141932	-0.50344807	0.52359878	0.69813170	0.00000000	0.55482719	0.34906585	0.52359878	-0.26965813	-0.23514363	1.35899723	-0.50000000	0.04946703	0.08324790	-0.32315040	-0.91025424	-0.68892563	1.65510828	0.65871962	0.00000000	0.00000000	-0.27738221	-0.43833900	-0.19809897	0.42638745	1.23641199	0.00000000	0.00000000
0.38333333	-2.76385348	2.27473807	1.18409097	-1.27454243	-0.12649208	1.03078563	0.53164047	-0.81504604	-0.17608359	1.58160964	-0.52606546	0.34906585	0.52359878	-0.60469993	0.52359878	0.69813170	0.00000000	0.72196215	0.34906585	0.52359878	-0.25884749	-0.53874953	1.36259915	-0.19449652	0.08173754	0.08567578	-0.19569178	-0.88344959	-0.69461301	1.70049203	0.57612883	0.00000000	0.00000000	-0.14643575	-0.54948125	-0.17972072	0.49737827	1.16996110	0.00000000	0.00000000
0.40000000	-2.25057972	2.03504719	1.31560173	-1.21853614	-0.11775932	1.00837388	0.25075401	-0.88182960	-0.74967066	1.36643089	-0.63619903	0.34906585	0.52359878	-0.37877222	0.26204669	0.69813170	0.30314171	1.04719755	0.34906585	0.52359878	-0.29760587	-0.64665621	0.70207633	-0.05097398	0.14177827	0.05444998	-0.25655254	-0.76690187	-0.82497178	1.78971168	0.48399483	0.00000000	0.00000000	-0.07741091	-0.66088196	-0.11550447	0.55141150	1.10379546	0.00000000	0.00000000
0.41666667	-2.26588773	1.89773786	1.43540418	-1.22142519	-0.13126279	0.98572653	0.14362043	-0.97761047	-1.22173048	1.42616813	-1.04719755	0.34906585	0.52359878	-0.03024995	-0.13827163	-0.51503548	0.71316951	0.43034946	-0.29956872	0.52142552	-0.20452627	-0.63359331	0.57956068	0.02097575	0.14798973	0.04797179	-0.26016157	-0.75430533	-0.84992213	1.79150759	0.37376480	0.00000000	0.00000000	-0.10260391	-0.77642272	-0.06474811	0.61895717	1.03215165	0.00000000	0.00000000
0.43333333	-2.35749746	1.87980257	1.49816214	-1.22143856	-0.14463441	0.98025674	0.21595637	-0.94396440	-1.22173048	1.43483811	-1.04719755	0.34906585	0.52359878	-0.07608891	-0.26154136	-0.69350737	0.57742547	0.11428203	-0.34906585	0.52359878	-0.13928497	-0.62923707	0.61812372	0.07743699	0.16186750	0.06836872	-0.20550798	-0.77923205	-0.82796550	1.79305008	0.28386758	0.00000000	0.00000000	-0.10749975	-0.83696633	-0.00564561	0.63259700	0.96338335	0.00000000	0.00000000
0.45000000	-2.39288929	1.87120992	1.53974920	-1.21444325	-0.15104537	0.97764359	0.26485588	-0.95187430	-1.22173048	1.44297829	-1.04719755	0.31693390	0.52359878	-0.09266259	-0.29501457	-0.72510694	0.53180886	0.04614567	-0.32348396	0.52359878	-0.11250494	-0.63627239	0.61794663	0.08422558	0.18065506	0.07676857	-0.20515367	-0.78665489	-0.85170308	1.79729455	0.16748351	0.00000000	0.00000000	-0.11303673	-0.86695754	0.01944664	0.63311738	0.88238749	0.00000000	0.00000000
0.46666667	-2.44569825	1.85794396	1.58517252	-1.20632793	-0.16008003	0.97804315	0.30063991	-0.95732420	-1.22173048	1.44158898	-1.04719755	0.28350018	0.52359878	-0.08680329	-0.32559505	-0.75256991	0.58451936	0.12594322	-0.29788884	0.51814820	-0.04893015	-0.63772173	0.64225610	0.05277017	0.20942734	0.09807538	-0.20389646	-0.76300067	-0.86190948	1.78211447	0.08193251	0.00000000	0.00000000	-0.12818840	-0.91526996	0.08689785	0.63954409	0.80965670	0.00000000	0.00000000
